"Tipo Vehículo","Capacidad en Centrimetros Cubicos","Tipo de Transmisión","Kilometros Recorridos","Tipo Combustible","Asientos","Consumo de Combustible en Kilometros por litro","Año Modelo","Valor de Reventa"
"Pilot SUV","1497","Manual","52000","Petrol","7","15.4","2016","27171"
"Pilot SUV","1199","Manual","10000","Petrol","5","16.5","2022","27477"
"Pilot SUV","1497","Automatic","25000","Petrol","7","15.4","2017","27063"
"Pilot SUV","1199","Manual","60000","Petrol","5","17.5","2017","27063"
"Pilot SUV","1199","Manual","34000","Petrol","5","17.5","2018","27241"
"Pilot SUV","1497","Manual","39980","Petrol","7","15.4","2017","27028"
"Pilot SUV","1497","Manual","44000","Petrol","7","15.4","2016","26939"
"Pilot SUV","1199","Manual","27800","Petrol","5","17.5","2017","27196"
"Pilot SUV","1199","Manual","30640","Petrol","5","17.5","2018","27187"
"Pilot SUV","1498","Manual","26000","Diesel","5","23.7","2021","27403"
"Pilot SUV","1199","Manual","54302","Petrol","5","17.5","2019","27160"
"Pilot SUV","1199","Manual","36887","Petrol","5","17.5","2017","26965"
"Pilot SUV","1199","Manual","51338","Petrol","5","17.5","2019","27165"
"Pilot SUV","1199","Manual","26955","Petrol","5","17.5","2018","27271"
"Pilot SUV","1199","Manual","20057","Petrol","5","16.5","2020","27391"
"Pilot SUV","1199","Manual","26626","Petrol","5","17.5","2019","27290"
"Pilot SUV","1199","Manual","54097","Petrol","5","17.5","2018","27241"
"Pilot SUV","1498","Manual","27545","Diesel","5","25.5","2018","27145"
"Pilot SUV","1498","Manual","82084","Diesel","5","25.5","2017","27007"
"Pilot SUV","1498","Manual","63000","Diesel","5","25.5","2018","27019"
"Pilot SUV","1199","Manual","52000","Petrol","5","17.5","2018","27271"
"Element SUV","1498","Manual","50000","Diesel","7","24.2","2015","30415"
"Element SUV","1497","Manual","38170","Petrol","7","17.3","2015","30595"
"Element SUV","1497","Manual","25000","Petrol","7","17.3","2014","30350"
"Element SUV","1497","Manual","24000","Petrol","7","17.3","2016","30418"
"Element SUV","1497","Manual","45000","Petrol","7","17.3","2014","30160"
"Element SUV","1497","Manual","55000","Petrol","7","17.3","2014","30210"
"Element SUV","1497","Manual","12500","Petrol","7","17.3","2014","30120"
"Element SUV","1497","Manual","65000","Petrol","7","17.3","2015","30451"
"Element SUV","1498","Manual","90000","Diesel","7","24.2","2014","30410"
"Element SUV","1498","Manual","161471","Diesel","7","24.2","2014","30280"
"Element SUV","1497","Manual","50000","Petrol","7","17.3","2014","30190"
"Element SUV","1498","Manual","98000","Diesel","7","24.2","2015","30298"
"Element SUV","1497","Manual","56000","Petrol","7","17.3","2015","30613"
"Element SUV","1498","Manual","60000","Diesel","7","24.2","2016","30370"
"Element SUV","1498","Manual","60000","Diesel","7","24.2","2016","30634"
"Element SUV","1497","Manual","100000","Petrol","7","17.3","2015","30208"
"Element SUV","1497","Manual","59000","Petrol","7","17.3","2014","30110"
"Element SUV","1497","Manual","68000","Petrol","7","17.3","2014","30500"
"Element SUV","1498","Manual","92000","Diesel","7","24.2","2014","30590"
"Element SUV","1497","Manual","71000","Petrol","7","17.3","2015","30496"
"Element SUV","1497","Manual","80000","Petrol","7","17.3","2015","30640"
"Element SUV","1497","Manual","120000","Petrol","7","17.3","2014","30570"
"Element SUV","1497","Manual","120000","Petrol","7","17.3","2014","30540"
"Element SUV","1498","Manual","150000","Diesel","7","24.5","2015","30640"
"Element SUV","1497","Manual","120000","Petrol","7","17.3","2016","30474"
"Element SUV","1497","Manual","75019","Petrol","7","17.3","2015","30343"
"Element SUV","1498","Manual","71000","Diesel","7","24.2","2015","30496"
"Element SUV","1498","Manual","19000","Diesel","7","24.2","2016","30570"
"Element SUV","1498","Manual","63710","Diesel","7","24.2","2015","30253"
"Accord Sedán Híbrido","1498","Manual","90000","Diesel","5","27.3","2015","30532"
"Accord Sedán Híbrido","1498","Manual","110000","Diesel","5","27.3","2017","30544"
"Accord Sedán Híbrido","1198","Manual","60000","Petrol","5","19.4","2012","30118"
